id,model,n_estimators,lr,mae
66,model66,500,0.016666666666666666,0.5820065596961259
67,model67,500,0.0125,0.5837465735807408
68,model68,500,0.01,0.5860835834629226
69,model69,500,0.008333333333333333,0.5917182239225248
70,model70,500,0.0071428571428571435,0.6088076266894988
71,model71,500,0.00625,0.648907929535543
72,model72,500,0.005555555555555556,0.7124677836581153
73,model73,550,0.05,0.5803641534130748
74,model74,550,0.025,0.5800581274365675
75,model75,550,0.016666666666666666,0.5815492585163367
76,model76,550,0.0125,0.5831316431130698
77,model77,550,0.01,0.5848239837449887
78,model78,550,0.008333333333333333,0.5879279078908197
79,model79,550,0.0071428571428571435,0.5960594011120258
80,model80,550,0.00625,0.6171887581242445
81,model81,550,0.005555555555555556,0.6588367201791653
82,model82,600,0.05,0.5803491891016747
83,model83,600,0.025,0.5800074466332595
84,model84,600,0.016666666666666666,0.5810736209413587
85,model85,600,0.0125,0.5827458667808392
86,model86,600,0.01,0.583963213208503
87,model87,600,0.008333333333333333,0.5860276154267762
88,model88,600,0.0071428571428571435,0.5904182507323948
89,model89,600,0.00625,0.6012167674145431
90,model90,600,0.005555555555555556,0.6257266867737437
91,model91,650,0.05,0.5804934998177074
92,model92,650,0.025,0.5799617008544361
93,model93,650,0.016666666666666666,0.580799579323284
94,model94,650,0.0125,0.5823052860823013
95,model95,650,0.01,0.5834389638357586
96,model96,650,0.008333333333333333,0.5849882149762753
97,model97,650,0.0071428571428571435,0.5876385512426421
98,model98,650,0.00625,0.593416340268618
99,model99,650,0.005555555555555556,0.6069373279298392
100,model100,700,0.05,0.5807164251859402
101,model101,700,0.025,0.5798615085469923
102,model102,700,0.016666666666666666,0.5806292034766747
103,model103,700,0.0125,0.5819845326471043
104,model104,700,0.01,0.5829976380262207
105,model105,700,0.008333333333333333,0.5842731580391964
106,model106,700,0.0071428571428571435,0.5861229614077256
107,model107,700,0.00625,0.5896087800601956
108,model108,700,0.005555555555555556,0.5970778793129415
109,model109,750,0.05,0.5804950619618695
110,model110,750,0.025,0.5799964308756627
111,model111,750,0.016666666666666666,0.5804621595927936
112,model112,750,0.0125,0.5815724731513165
113,model113,750,0.01,0.5826804903721691
114,model114,750,0.008333333333333333,0.5837239658185889
115,model115,750,0.0071428571428571435,0.5851658071887115
116,model116,750,0.00625,0.5874661223088006
117,model117,750,0.005555555555555556,0.5918248276479728
118,model118,800,0.05,0.5807226445517611
119,model119,800,0.025,0.5799572342427991
120,model120,800,0.016666666666666666,0.5804327618829237
121,model121,800,0.0125,0.5812645070086586
122,model122,800,0.01,0.5822961437540939
123,model123,800,0.008333333333333333,0.5833207127174198
124,model124,800,0.0071428571428571435,0.5845090959872039
125,model125,800,0.00625,0.5861123428886925
126,model126,800,0.005555555555555556,0.5890200576617097
127,model127,850,0.05,0.5809480093794417
128,model128,850,0.025,0.5799342686380831
129,model129,850,0.016666666666666666,0.5804033290695628
130,model130,850,0.0125,0.5810504916749566
131,model131,850,0.01,0.5819430804997738
132,model132,850,0.008333333333333333,0.582996114710851
133,model133,850,0.0071428571428571435,0.5839696990679236
134,model134,850,0.00625,0.585259814614133
135,model135,850,0.005555555555555556,0.5872926568365641
136,model136,900,0.05,0.5810761857182183
137,model137,900,0.025,0.5798744837110982
138,model138,900,0.016666666666666666,0.5803939438311926
139,model139,900,0.0125,0.5808919494721332
140,model140,900,0.01,0.5816412968938437
141,model141,900,0.008333333333333333,0.5827322659350183
142,model142,900,0.0071428571428571435,0.5835570724833488
143,model143,900,0.00625,0.584627374314075
144,model144,900,0.005555555555555556,0.5861400506128668
145,model145,950,0.05,0.581275044677726
146,model146,950,0.025,0.5799024873065277
147,model147,950,0.016666666666666666,0.5803703973349643
